username,rank,coupon,date
lephare,NovaFree,Affiliate-NOVAFREE,11/10/2023 4:00
mathildeleguillou,NovaFree,Affiliate-NOVAFREE,11/11/2023 4:00
emanmaster87,NovaFree,Affiliate-NOVAFREE,11/11/2023 4:00
odile,SuperNova Free,Affiliate-SUPERNOVAFREE,11/12/2023 4:00
mlasselle,NovaFree,Affiliate-NOVAFREE,11/12/2023 4:00
maelle,SuperNova Free,Affiliate-SUPERNOVAFREE,11/12/2023 4:00
sonny,SuperNova Free,Affiliate-SUPERNOVAFREE,11/13/2023 4:00
kieshadixon,NovaFree,Affiliate-NOVAFREE,11/13/2023 4:00
myash,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
paulw,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
davina,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
levelup,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
mariegeo,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
quentin01,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
joanp,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
iris974,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
marionsmn,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
remy34,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
pedrorodrigues,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
elodie_g,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/14/2023 4:00
delphine61,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
mystere,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
ladyb.,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
sandrasierro,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
soph29,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/14/2023 4:00
macgreg,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
mitsuyoshiworld,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
sierros,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
willyleyz22,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/14/2023 4:00
mat974,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
coco,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
barbara6,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
tupacforever04,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
theseve49,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/14/2023 4:00
cynthia_digital,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
cynthia_digital,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
sandpain83,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
bruno447,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/14/2023 4:00
sab33,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
gwendesroches,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
marlene13,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
sandrine47,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
manongautier,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
fabienmartelly,NovaFree,Affiliate-NOVAFREE,11/14/2023 4:00
celineplanelles,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/14/2023 4:00
mfpmg30,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
prefolly,SuperNova Free,Affiliate-SUPERNOVAFREE,11/14/2023 4:00
oc-marketing,SuperNova Free,Affiliate-SUPERNOVAFREE,11/15/2023 4:00
fredericancora,NovaFree,Affiliate-NOVAFREE,11/15/2023 4:00
davidv,SuperNova Free,Affiliate-SUPERNOVAFREE,11/15/2023 4:00
jennylorient,NovaFree,Affiliate-NOVAFREE,11/15/2023 4:00
cecile,SuperNova Free,Affiliate-SUPERNOVAFREE,11/15/2023 4:00
pab,NovaFree,Affiliate-NOVAFREE,11/15/2023 4:00
mariejob,SuperNova Free,Affiliate-SUPERNOVAFREE,11/15/2023 4:00
ludivine,SuperNova Free,Affiliate-SUPERNOVAFREE,11/15/2023 4:00
julie57,NovaFree,Affiliate-NOVAFREE,11/16/2023 4:00
julie57,NovaFree,Affiliate-NOVAFREE,11/16/2023 4:00
isabellepycasso26,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/16/2023 4:00
kihoubasol,SuperNova Free,Affiliate-SUPERNOVAFREE,11/16/2023 4:00
gaellelemaine,NovaFree,Affiliate-NOVAFREE,11/17/2023 4:00
olivier974,SuperNova Free,Affiliate-SUPERNOVAFREE,11/17/2023 4:00
joleader7,SuperNova Free,Affiliate-SUPERNOVAFREE,11/17/2023 4:00
clairefernandez,NovaFree,Affiliate-NOVAFREE,11/17/2023 4:00
audepinson,SuperNova Free,Affiliate-SUPERNOVAFREE,11/18/2023 4:00
pascale1,NovaFree,Affiliate-NOVAFREE,11/18/2023 4:00
laoren974,SuperNova Free,Affiliate-SUPERNOVAFREE,11/18/2023 4:00
juliencaporossi,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/18/2023 4:00
hetega,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/18/2023 4:00
paulinemarie,NovaFree,Affiliate-NOVAFREE,11/19/2023 4:00
aurore241,SuperNova Free,Affiliate-SUPERNOVAFREE,11/20/2023 4:00
fannysteib,NovaFree,Affiliate-NOVAFREE,11/20/2023 4:00
sihamnaturo91,SuperNova Free,Affiliate-SUPERNOVAFREE,11/20/2023 4:00
steph,NovaFree,Affiliate-NOVAFREE,11/21/2023 4:00
mhheroux,NovaFree,Affiliate-NOVAFREE,11/21/2023 4:00
rosa,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/22/2023 4:00
guettoakp,SuperNova Free,Affiliate-SUPERNOVAFREE,11/22/2023 4:00
mariepinkbusiness,NovaFree,Affiliate-NOVAFREE,11/22/2023 4:00
vincevda,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/22/2023 4:00
alexandra62,NovaFree,Affiliate-NOVAFREE,11/23/2023 4:00
quebec,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/24/2023 4:00
caroma,SuperNova Free,Affiliate-SUPERNOVAFREE,11/24/2023 4:00
sabsab,SuperNova Free,Affiliate-SUPERNOVAFREE,11/24/2023 4:00
selloi,SuperNova Free,Affiliate-SUPERNOVAFREE,11/26/2023 4:00
greg,SuperNova Free,Affiliate-SUPERNOVAFREE,11/26/2023 4:00
valdegrace,SuperNova Free,Affiliate-SUPERNOVAFREE,11/26/2023 4:00
annemarieandrey,SuperNova Free,Affiliate-SUPERNOVAFREE,11/27/2023 4:00
sandrineberthier,NovaFree,Affiliate-NOVAFREE,11/28/2023 4:00
mayamour,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/28/2023 4:00
lindadom,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/29/2023 4:00
bernard33660,SuperNova Free,Affiliate-SUPERNOVAFREE,11/29/2023 4:00
mathias,NovaFree Plus,Affiliate-NOVAFREEPLUS,11/30/2023 4:00
mariedns,SuperNova Free,Affiliate-SUPERNOVAFREE,11/30/2023 4:00
carolineberne,SuperNova Free,Affiliate-SUPERNOVAFREE,11/9/2023 4:00
pokerface,SuperNova Free,Affiliate-SUPERNOVAFREE,11/9/2023 4:00
jgjournalist,SuperNova Free,Affiliate-SUPERNOVAFREE,11/9/2023 4:00
