subscriptions.plan_id,Friend request,Friend request received,CRM group,stages group,CRM messages,Advanced NovaData,AI Comment
Nova-Connect-EUR-Monthly,20,10,3,10,20,1,5
Nova-Connect-EUR-Yearly,20,10,3,10,20,1,5
Nova-Connect-Plus-Birthday-EUR-Monthly,50,25,10,50,50,1,5
Nova-Connect-Plus-CRM-EUR-Monthly,50,25,10,50,50,1,5
Nova-Connect-Plus-CRM-EUR-Monthly,50,25,10,50,50,1,5
Nova-Connect-Plus-CRM-EUR-Yearly,50,25,10,50,50,1,5
Nova-Connect-Plus-CRM-EUR-Yearly,50,25,10,50,50,1,5
NovaConnect-CRM-Birthday-EUR-Monthly,50,25,10,50,50,1,5
NovaConnect-CRM-Birthday-EUR-Yearly,50,25,10,50,50,1,5
NovaCRM-Pre-lancement-EUR-Monthly,50,25,10,50,50,1,5
SuperNova-EUR-Monthly,50,25,10,50,50,1,20
SuperNova-EUR-Yearly,50,25,10,50,50,1,20
SuperNova-NovaBirthday-Pre-lancement-EUR-Monthly,50,25,10,50,50,1,20
SuperNova-NovaBirthday-Pre-lancement-EUR-Yearly,50,25,10,50,50,1,20
SuperNova-NovaCRM-Pre-lancement-EUR-Monthly,50,25,10,50,50,1,20
SuperNova-NovaCRM-Pre-lancement-EUR-Yearly,50,25,10,50,50,1,20
SuperNova-Offre-Pre-lancement-EUR-Monthly,50,25,10,50,50,1,0
SuperNova-Offre-Pre-lancement-EUR-Yearly,50,25,10,50,50,1,0
SuperNova-Offre-Spe-Pr-lancement-EUR-Monthly,50,25,10,50,50,1,0
SuperNova-Pre-lancement-NovaBirthday-EUR-Monthly,50,25,10,50,50,1,20
SuperNova-Pre-lancement-NovaBirthday-EUR-Monthly,50,25,10,50,50,1,20
SuperNova-Pre-lancement-NovaBirthday-EUR-Yearly,50,25,10,50,50,1,20